Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68
sample_021	(1, 32.85390946502058)	(2, 32.82098765432099)	(3, 32.907407407407405)	(4, 32.660493827160494)	(5, 32.72633744855967)	(6, 36.3477366255144)	(7, 36.77366255144033)	(8, 36.63991769547325)	(9, 36.63786008230453)	(10, 36.677983539094654)	(12, 36.992798353909464)	(14, 36.89609053497942)	(16, 36.93415637860082)	(18, 36.760288065843625)	(20, 36.97942386831276)	(22, 36.68724279835391)	(24, 36.68004115226337)	(26, 36.66769547325103)	(28, 36.61625514403292)	(30, 36.67283950617284)	(32, 36.86522633744856)	(34, 36.79012345679013)	(36, 36.693415637860085)	(38, 36.70679012345679)	(40, 36.48148148148148)	(42, 36.531893004115226)	(44, 36.74074074074074)	(46, 36.56378600823045)	(48, 36.681069958847736)	(50, 36.47633744855967)	(52, 36.79218106995884)	(54, 36.49074074074074)	(56, 36.85288065843621)	(58, 36.531893004115226)	(60, 36.534979423868315)	(62, 36.28395061728395)	(64, 36.657407407407405)	(66, 36.45370370370371)	(68, 36.138888888888886)	(70, 36.227366255144034)	(72, 36.309670781893004)	(74, 36.308641975308646)	(76, 36.23456790123457)	(78, 36.06069958847736)	(80, 36.16255144032922)	(82, 36.291152263374485)	(84, 36.374485596707814)																						
sample_022	(1, 32.349794238683124)	(2, 32.174897119341566)	(3, 32.59670781893004)	(4, 32.141975308641975)	(5, 32.33744855967078)	(6, 36.05761316872428)	(7, 36.26954732510288)	(8, 36.45061728395062)	(9, 36.648148148148145)	(10, 36.148148148148145)	(12, 36.089506172839506)	(14, 36.218106995884774)	(16, 35.974279835390945)	(18, 36.3641975308642)	(20, 36.111111111111114)	(22, 36.18518518518518)	(24, 36.21399176954733)	(26, 36.260288065843625)	(28, 36.1440329218107)	(30, 36.4537037037037)	(32, 36.31275720164609)	(34, 36.334362139917694)	(36, 36.31481481481481)	(38, 36.43724279835391)	(40, 36.44238683127572)	(42, 36.255144032921805)	(44, 36.181069958847736)	(46, 36.35390946502058)	(48, 36.37448559670782)	(50, 36.2798353909465)	(52, 36.34156378600823)	(54, 36.29629629629629)	(56, 36.11522633744856)	(58, 36.27057613168724)	(60, 36.47222222222223)	(62, 35.88168724279835)	(64, 36.291152263374485)	(66, 36.29012345679013)	(68, 36.15843621399177)	(70, 35.95781893004116)	(72, 36.157407407407405)	(74, 35.92901234567901)	(76, 36.22222222222222)	(78, 35.9701646090535)	(80, 35.845679012345684)	(82, 35.93518518518519)	(84, 35.86316872427983)																						
sample_031	(1, 32.97029702970297)	(2, 32.960396039603964)	(3, 33.024752475247524)	(4, 32.37623762376238)	(5, 33.0)	(6, 36.113861386138616)	(7, 36.43069306930693)	(8, 36.257425742574256)	(9, 36.70792079207921)	(10, 37.05940594059406)	(12, 36.85643564356435)	(14, 36.769801980198025)	(16, 36.76237623762376)	(18, 36.616336633663366)	(20, 36.16831683168317)	(22, 36.539603960396036)	(24, 36.698019801980195)	(26, 36.96534653465346)	(28, 36.586633663366335)	(30, 36.73762376237624)	(32, 36.616336633663366)	(34, 36.73019801980198)	(36, 36.90841584158416)	(38, 36.62376237623762)	(40, 36.36881188118812)	(42, 36.853960396039604)	(44, 36.53465346534654)	(46, 36.801980198019805)	(48, 36.45544554455446)	(50, 36.5940594059406)	(52, 36.37623762376238)	(54, 36.54950495049505)	(56, 36.42574257425743)	(58, 36.52970297029703)	(60, 36.43316831683168)	(62, 36.40841584158416)	(64, 36.52970297029703)	(66, 35.945544554455445)	(68, 36.60643564356435)	(70, 36.51980198019802)	(72, 36.11386138613861)	(74, 36.60643564356435)	(76, 36.45544554455446)	(78, 36.41831683168317)	(80, 36.02722772277228)	(82, 36.54207920792079)	(84, 36.34158415841584)	(86, 36.23514851485149)	(88, 35.98267326732673)	(90, 36.20544554455445)	(92, 35.93316831683168)	(94, 36.59158415841584)	(96, 35.87623762376238)	(98, 35.99009900990099)	(100, 35.54455445544554)														
sample_032	(1, 32.43564356435643)	(2, 32.35643564356435)	(3, 32.21782178217822)	(4, 32.306930693069305)	(5, 31.752475247524753)	(6, 36.15841584158416)	(7, 36.43069306930693)	(8, 35.68811881188119)	(9, 36.524752475247524)	(10, 36.64108910891089)	(12, 36.430693069306926)	(14, 36.25)	(16, 36.33168316831683)	(18, 36.05940594059406)	(20, 36.39356435643565)	(22, 36.26237623762376)	(24, 36.616336633663366)	(26, 36.13613861386139)	(28, 36.554455445544555)	(30, 36.319306930693074)	(32, 36.254950495049506)	(34, 36.37128712871287)	(36, 35.866336633663366)	(38, 36.21782178217822)	(40, 36.26732673267327)	(42, 36.39108910891089)	(44, 36.024752475247524)	(46, 36.3440594059406)	(48, 36.039603960396036)	(50, 36.48514851485149)	(52, 36.34405940594059)	(54, 36.07673267326733)	(56, 35.66089108910891)	(58, 35.87871287128713)	(60, 36.03712871287129)	(62, 36.21534653465346)	(64, 35.834158415841586)	(66, 36.22029702970297)	(68, 36.193069306930695)	(70, 36.336633663366335)	(72, 36.071782178217816)	(74, 36.36881188118812)	(76, 35.9009900990099)	(78, 36.05940594059406)	(80, 35.87871287128713)	(82, 36.25)	(84, 35.93564356435644)	(86, 36.36881188118812)	(88, 35.63861386138613)	(90, 35.819306930693074)	(92, 35.943069306930695)	(94, 35.915841584158414)	(96, 35.37128712871287)	(98, 35.73762376237624)	(100, 35.366336633663366)														
sample_041	(1, 32.73015873015873)	(2, 33.095238095238095)	(3, 31.5)	(4, 35.17460317460318)	(5, 36.42857142857143)	(6, 37.523809523809526)	(7, 36.73015873015873)	(8, 37.12698412698413)	(9, 37.04761904761905)	(10, 37.593650793650795)	(15, 39.55555555555556)	(20, 38.96507936507937)	(25, 38.84444444444445)	(30, 38.96190476190476)	(35, 38.62380952380952)	(40, 38.25555555555555)	(45, 38.226984126984135)	(50, 37.69047619047619)	(55, 37.51428571428572)	(60, 37.13968253968254)	(65, 36.385714285714286)	(70, 35.84603174603175)	(75, 35.25873015873016)	(80, 35.333333333333336)	(85, 35.69206349206349)	(90, 35.82380952380953)	(95, 35.45079365079365)	(100, 35.16349206349206)	(105, 35.36507936507936)	(110, 35.266666666666666)	(115, 35.58095238095238)	(120, 35.23492063492064)	(125, 35.58888888888889)	(130, 35.09047619047619)	(135, 35.804761904761904)	(140, 35.52777777777778)																																	
sample_042	(1, 32.785714285714285)	(2, 32.857142857142854)	(3, 33.111111111111114)	(4, 36.595238095238095)	(5, 36.976190476190474)	(6, 36.80952380952381)	(7, 36.51587301587302)	(8, 36.87301587301587)	(9, 37.01587301587302)	(10, 36.926984126984124)	(15, 38.46190476190476)	(20, 38.47460317460317)	(25, 38.24603174603174)	(30, 38.56349206349206)	(35, 38.093650793650795)	(40, 37.78253968253968)	(45, 37.93015873015874)	(50, 37.44761904761905)	(55, 37.142857142857146)	(60, 36.56825396825397)	(65, 36.32698412698413)	(70, 35.95079365079365)	(75, 35.24444444444444)	(80, 34.63650793650794)	(85, 34.804761904761904)	(90, 35.03650793650794)	(95, 34.852380952380955)	(100, 35.04603174603175)	(105, 35.82380952380953)	(110, 34.942857142857136)	(115, 35.15873015873016)	(120, 34.77301587301587)	(125, 35.28253968253968)	(130, 35.08095238095238)	(135, 35.334920634920636)	(140, 35.230158730158735)																																	
sample_051	(1, 32.64434523809524)	(2, 32.79761904761905)	(3, 32.90029761904762)	(4, 32.84970238095238)	(5, 32.73065476190476)	(6, 36.260416666666664)	(7, 36.86904761904762)	(8, 36.623511904761905)	(9, 36.74404761904762)	(10, 36.68303571428571)	(12, 37.02083333333333)	(14, 36.88839285714286)	(16, 36.91294642857143)	(18, 36.89360119047619)	(20, 36.89285714285714)	(22, 36.79315476190476)	(24, 36.62202380952381)	(26, 36.77455357142857)	(28, 36.788690476190474)	(30, 36.761160714285715)	(32, 36.56622023809524)	(34, 36.734375)	(36, 36.38392857142857)	(38, 36.726934523809526)	(40, 36.66517857142857)	(42, 36.38764880952381)	(44, 36.68526785714286)	(46, 36.76190476190476)	(48, 36.56473214285714)	(50, 36.661458333333336)	(52, 36.41741071428571)	(54, 36.723214285714285)	(56, 36.734375)	(58, 36.495535714285715)	(60, 36.50446428571429)	(62, 36.40401785714286)	(64, 36.26860119047619)	(66, 36.54464285714286)	(68, 36.55952380952381)	(70, 36.44717261904762)	(72, 36.18080357142857)	(74, 36.05059523809524)	(76, 36.370535714285715)	(78, 36.226934523809526)	(80, 36.30059523809524)	(82, 36.59300595238095)	(84, 35.80877976190476)	(86, 36.24032738095238)	(88, 36.29464285714286)	(90, 36.14360119047619)	(92, 36.052083333333336)	(94, 35.673363095238095)	(96, 35.941964285714285)																
sample_052	(1, 32.24404761904762)	(2, 32.288690476190474)	(3, 32.586309523809526)	(4, 32.535714285714285)	(5, 32.370535714285715)	(6, 36.125)	(7, 36.29761904761905)	(8, 36.489583333333336)	(9, 36.148809523809526)	(10, 36.16815476190476)	(12, 36.29017857142857)	(14, 36.25074404761905)	(16, 36.22619047619048)	(18, 36.31175595238095)	(20, 36.18377976190476)	(22, 36.15401785714286)	(24, 36.354910714285715)	(26, 36.57217261904762)	(28, 36.186011904761905)	(30, 36.48511904761905)	(32, 36.308035714285715)	(34, 36.26190476190476)	(36, 36.01636904761905)	(38, 36.295386904761905)	(40, 36.211309523809526)	(42, 36.44047619047619)	(44, 36.10863095238095)	(46, 36.229166666666664)	(48, 36.19568452380952)	(50, 36.25818452380952)	(52, 36.16071428571429)	(54, 36.21130952380952)	(56, 36.03794642857143)	(58, 36.217261904761905)	(60, 36.44791666666667)	(62, 36.18229166666667)	(64, 35.98660714285714)	(66, 36.15922619047619)	(68, 36.09077380952381)	(70, 36.089285714285715)	(72, 35.94940476190476)	(74, 35.663690476190474)	(76, 35.97172619047619)	(78, 36.29092261904762)	(80, 35.88095238095238)	(82, 36.01785714285714)	(84, 35.76785714285714)	(86, 35.854910714285715)	(88, 35.88541666666667)	(90, 35.748511904761905)	(92, 35.91071428571429)	(94, 35.73660714285714)	(96, 35.794642857142854)																
sample_061	(1, 32.57262905162065)	(2, 32.83793517406963)	(3, 33.075630252100844)	(4, 32.72388955582233)	(5, 32.79231692677071)	(6, 36.19567827130852)	(7, 36.63385354141656)	(8, 36.863145258103245)	(9, 36.942376950780314)	(10, 36.721488595438174)	(12, 36.932172869147664)	(14, 36.65426170468187)	(16, 36.8859543817527)	(18, 36.67466986794718)	(20, 36.70408163265306)	(22, 36.65426170468187)	(24, 36.69567827130852)	(26, 36.9015606242497)	(28, 36.60804321728692)	(30, 36.6968787515006)	(32, 36.71548619447779)	(34, 36.70768307322929)	(36, 36.68967587034814)	(38, 36.58343337334934)	(40, 36.64345738295318)	(42, 36.43337334933973)	(44, 36.54861944777912)	(46, 36.46518607442977)	(48, 36.531812725090035)	(50, 36.56662665066027)	(52, 36.54321728691477)	(54, 36.45918367346938)	(56, 36.68967587034814)	(58, 36.42737094837935)	(60, 36.540216086434576)	(62, 36.44417767106843)	(64, 36.0828331332533)	(66, 36.22569027611044)	(68, 36.36194477791116)	(70, 36.58523409363745)	(72, 36.53001200480192)	(74, 36.18427370948379)	(76, 36.234093637454976)	(78, 36.25330132052821)	(80, 36.07923169267707)	(82, 36.29711884753901)	(84, 36.15546218487395)	(86, 36.207082833133256)	(88, 35.85054021608643)																				
sample_062	(1, 32.25690276110444)	(2, 32.41656662665066)	(3, 32.63625450180072)	(4, 32.454981992797116)	(5, 32.28691476590636)	(6, 36.06002400960384)	(7, 36.301320528211285)	(8, 36.278511404561826)	(9, 36.02881152460984)	(10, 36.259903961584634)	(12, 36.375750300120046)	(14, 36.26950780312124)	(16, 36.454981992797116)	(18, 36.39195678271309)	(20, 36.25690276110444)	(22, 36.44357743097238)	(24, 36.190276110444174)	(26, 36.26710684273709)	(28, 36.27430972388956)	(30, 36.22028811524609)	(32, 36.33673469387755)	(34, 36.370348139255704)	(36, 36.247298919567825)	(38, 36.18847539015606)	(40, 36.41836734693878)	(42, 36.18187274909964)	(44, 36.34873949579832)	(46, 36.4483793517407)	(48, 36.34873949579832)	(50, 36.223889555822325)	(52, 36.20948379351741)	(54, 36.03781512605042)	(56, 36.40276110444178)	(58, 36.24969987995198)	(60, 36.190276110444174)	(62, 36.27130852340936)	(64, 35.975990396158466)	(66, 36.17527010804322)	(68, 36.319327731092436)	(70, 36.02280912364946)	(72, 36.23049219687876)	(74, 36.137454981992796)	(76, 35.816326530612244)	(78, 36.25390156062425)	(80, 35.81212484993998)	(82, 36.10564225690276)	(84, 35.72569027611044)	(86, 36.165066026410564)	(88, 35.84933973589436)																				
