Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
sample_021	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.08417508417508417)	(29.0, 0.16835016835016833)	(30.0, 0.08417508417508417)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.16835016835016833)	(35.0, 0.16835016835016833)	(36.0, 0.08417508417508417)	(37.0, 0.5050505050505051)	(38.0, 0.5050505050505051)	(39.0, 1.2626262626262625)	(40.0, 2.356902356902357)	(41.0, 1.936026936026936)	(42.0, 1.6835016835016834)	(43.0, 2.525252525252525)	(44.0, 2.861952861952862)	(45.0, 3.1986531986531985)	(46.0, 4.797979797979798)	(47.0, 5.723905723905724)	(48.0, 5.976430976430977)	(49.0, 5.976430976430977)	(50.0, 7.23905723905724)	(51.0, 8.333333333333332)	(52.0, 8.080808080808081)	(53.0, 8.24915824915825)	(54.0, 6.565656565656567)	(55.0, 5.808080808080808)	(56.0, 5.05050505050505)	(57.0, 2.6936026936026933)	(58.0, 1.936026936026936)	(59.0, 1.8518518518518516)	(60.0, 1.8518518518518516)	(61.0, 1.3468013468013467)	(62.0, 0.6734006734006733)	(63.0, 0.25252525252525254)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample_022	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.1697792869269949)	(35.0, 0.2546689303904924)	(36.0, 0.1697792869269949)	(37.0, 0.2546689303904924)	(38.0, 0.3395585738539898)	(39.0, 1.1884550084889642)	(40.0, 2.037351443123939)	(41.0, 2.2920203735144313)	(42.0, 2.461799660441426)	(43.0, 2.7164685908319184)	(44.0, 3.1409168081494054)	(45.0, 3.5653650254668934)	(46.0, 5.00848896434635)	(47.0, 6.112054329371817)	(48.0, 6.36672325976231)	(49.0, 6.621392190152801)	(50.0, 6.791171477079796)	(51.0, 7.385398981324279)	(52.0, 8.064516129032258)	(53.0, 8.31918505942275)	(54.0, 8.064516129032258)	(55.0, 6.706281833616298)	(56.0, 4.668930390492361)	(57.0, 2.801358234295416)	(58.0, 1.5280135823429541)	(59.0, 1.1035653650254669)	(60.0, 1.0186757215619695)	(61.0, 0.6791171477079796)	(62.0, 0.1697792869269949)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample_031	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.24752475247524752)	(35.0, 0.24752475247524752)	(36.0, 0.24752475247524752)	(37.0, 0.49504950495049505)	(38.0, 0.24752475247524752)	(39.0, 0.9900990099009901)	(40.0, 1.7326732673267329)	(41.0, 2.2277227722772275)	(42.0, 2.4752475247524752)	(43.0, 2.2277227722772275)	(44.0, 3.7128712871287126)	(45.0, 5.198019801980198)	(46.0, 5.9405940594059405)	(47.0, 4.702970297029703)	(48.0, 3.9603960396039604)	(49.0, 4.9504950495049505)	(50.0, 6.9306930693069315)	(51.0, 7.920792079207921)	(52.0, 7.425742574257425)	(53.0, 8.16831683168317)	(54.0, 7.425742574257425)	(55.0, 5.9405940594059405)	(56.0, 5.693069306930694)	(57.0, 4.9504950495049505)	(58.0, 2.722772277227723)	(59.0, 1.2376237623762376)	(60.0, 0.7425742574257426)	(61.0, 0.24752475247524752)	(62.0, 0.49504950495049505)	(63.0, 0.49504950495049505)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample_032	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.24752475247524752)	(34.0, 0.49504950495049505)	(35.0, 0.24752475247524752)	(36.0, 0.0)	(37.0, 0.24752475247524752)	(38.0, 0.49504950495049505)	(39.0, 0.9900990099009901)	(40.0, 1.7326732673267329)	(41.0, 1.9801980198019802)	(42.0, 3.217821782178218)	(43.0, 3.217821782178218)	(44.0, 4.455445544554455)	(45.0, 4.702970297029703)	(46.0, 3.4653465346534658)	(47.0, 4.455445544554455)	(48.0, 5.693069306930694)	(49.0, 6.435643564356436)	(50.0, 7.673267326732673)	(51.0, 9.158415841584159)	(52.0, 6.435643564356436)	(53.0, 6.9306930693069315)	(54.0, 8.91089108910891)	(55.0, 6.683168316831684)	(56.0, 3.9603960396039604)	(57.0, 2.722772277227723)	(58.0, 2.2277227722772275)	(59.0, 1.2376237623762376)	(60.0, 0.49504950495049505)	(61.0, 0.7425742574257426)	(62.0, 0.7425742574257426)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample_041	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 1.1904761904761905)	(35.0, 1.1904761904761905)	(36.0, 0.7936507936507936)	(37.0, 1.984126984126984)	(38.0, 1.1904761904761905)	(39.0, 0.3968253968253968)	(40.0, 1.984126984126984)	(41.0, 1.984126984126984)	(42.0, 1.1904761904761905)	(43.0, 1.984126984126984)	(44.0, 4.761904761904762)	(45.0, 4.761904761904762)	(46.0, 6.349206349206349)	(47.0, 6.746031746031746)	(48.0, 3.968253968253968)	(49.0, 6.746031746031746)	(50.0, 6.746031746031746)	(51.0, 4.365079365079365)	(52.0, 5.952380952380952)	(53.0, 8.73015873015873)	(54.0, 7.142857142857142)	(55.0, 6.746031746031746)	(56.0, 6.349206349206349)	(57.0, 2.7777777777777777)	(58.0, 1.1904761904761905)	(59.0, 0.7936507936507936)	(60.0, 1.1904761904761905)	(61.0, 0.7936507936507936)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample_042	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.3968253968253968)	(34.0, 0.3968253968253968)	(35.0, 0.0)	(36.0, 0.3968253968253968)	(37.0, 0.3968253968253968)	(38.0, 0.3968253968253968)	(39.0, 0.3968253968253968)	(40.0, 0.7936507936507936)	(41.0, 1.1904761904761905)	(42.0, 2.7777777777777777)	(43.0, 3.1746031746031744)	(44.0, 1.1904761904761905)	(45.0, 3.571428571428571)	(46.0, 5.555555555555555)	(47.0, 5.555555555555555)	(48.0, 5.952380952380952)	(49.0, 5.952380952380952)	(50.0, 7.5396825396825395)	(51.0, 7.5396825396825395)	(52.0, 9.920634920634921)	(53.0, 11.507936507936508)	(54.0, 8.333333333333332)	(55.0, 5.555555555555555)	(56.0, 4.365079365079365)	(57.0, 3.968253968253968)	(58.0, 1.5873015873015872)	(59.0, 0.3968253968253968)	(60.0, 0.7936507936507936)	(61.0, 0.3968253968253968)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample_051	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.273224043715847)	(34.0, 0.4098360655737705)	(35.0, 0.4098360655737705)	(36.0, 0.546448087431694)	(37.0, 0.6147540983606558)	(38.0, 0.6147540983606558)	(39.0, 0.6830601092896175)	(40.0, 1.2978142076502732)	(41.0, 1.7759562841530054)	(42.0, 2.390710382513661)	(43.0, 2.663934426229508)	(44.0, 3.210382513661202)	(45.0, 3.483606557377049)	(46.0, 3.551912568306011)	(47.0, 4.576502732240438)	(48.0, 7.035519125683059)	(49.0, 8.674863387978142)	(50.0, 8.19672131147541)	(51.0, 8.19672131147541)	(52.0, 7.718579234972678)	(53.0, 6.967213114754098)	(54.0, 7.103825136612022)	(55.0, 6.830601092896176)	(56.0, 4.849726775956284)	(57.0, 2.8688524590163933)	(58.0, 1.639344262295082)	(59.0, 0.819672131147541)	(60.0, 0.819672131147541)	(61.0, 1.1612021857923498)	(62.0, 0.6147540983606558)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample_052	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.1349527665317139)	(34.0, 0.33738191632928477)	(35.0, 0.33738191632928477)	(36.0, 0.20242914979757085)	(37.0, 0.2699055330634278)	(38.0, 0.47233468286099867)	(39.0, 0.7422402159244265)	(40.0, 1.417004048582996)	(41.0, 1.8893387314439947)	(42.0, 2.42914979757085)	(43.0, 3.1713900134952766)	(44.0, 3.1713900134952766)	(45.0, 3.643724696356275)	(46.0, 3.98110661268556)	(47.0, 4.4534412955465585)	(48.0, 6.680161943319838)	(49.0, 8.704453441295547)	(50.0, 9.31174089068826)	(51.0, 9.041835357624832)	(52.0, 8.299595141700406)	(53.0, 7.894736842105263)	(54.0, 7.08502024291498)	(55.0, 4.8582995951417)	(56.0, 3.643724696356275)	(57.0, 3.3063427800269904)	(58.0, 1.8893387314439947)	(59.0, 0.8771929824561403)	(60.0, 0.6747638326585695)	(61.0, 0.6072874493927125)	(62.0, 0.4048582995951417)	(63.0, 0.06747638326585695)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample_061	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.21413276231263384)	(32.0, 0.32119914346895073)	(33.0, 0.16059957173447537)	(34.0, 0.16059957173447537)	(35.0, 0.10706638115631692)	(36.0, 0.0)	(37.0, 0.3747323340471092)	(38.0, 0.7494646680942184)	(39.0, 0.9635974304068522)	(40.0, 1.7130620985010707)	(41.0, 2.08779443254818)	(42.0, 2.08779443254818)	(43.0, 3.640256959314775)	(44.0, 4.87152034261242)	(45.0, 4.710920770877944)	(46.0, 4.764453961456103)	(47.0, 4.496788008565311)	(48.0, 3.961456102783726)	(49.0, 5.299785867237687)	(50.0, 7.601713062098502)	(51.0, 8.190578158458244)	(52.0, 8.67237687366167)	(53.0, 8.244111349036402)	(54.0, 6.638115631691649)	(55.0, 6.102783725910064)	(56.0, 5.2462526766595285)	(57.0, 3.640256959314775)	(58.0, 1.9271948608137044)	(59.0, 1.1241970021413277)	(60.0, 0.9100642398286938)	(61.0, 0.6423982869379015)	(62.0, 0.3747323340471092)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample_062	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.053304904051172705)	(31.0, 0.15991471215351813)	(32.0, 0.15991471215351813)	(33.0, 0.21321961620469082)	(34.0, 0.31982942430703626)	(35.0, 0.3731343283582089)	(36.0, 0.42643923240938164)	(37.0, 0.4797441364605544)	(38.0, 0.7995735607675907)	(39.0, 1.0660980810234542)	(40.0, 1.9189765458422177)	(41.0, 2.345415778251599)	(42.0, 2.398720682302772)	(43.0, 3.1982942430703627)	(44.0, 4.317697228144989)	(45.0, 5.11727078891258)	(46.0, 4.264392324093817)	(47.0, 3.571428571428571)	(48.0, 5.330490405117271)	(49.0, 7.675906183368871)	(50.0, 7.782515991471215)	(51.0, 7.142857142857142)	(52.0, 7.782515991471215)	(53.0, 8.582089552238806)	(54.0, 7.08955223880597)	(55.0, 5.437100213219616)	(56.0, 4.264392324093817)	(57.0, 2.398720682302772)	(58.0, 1.0127931769722816)	(59.0, 0.7462686567164178)	(60.0, 1.439232409381663)	(61.0, 1.2260127931769722)	(62.0, 0.42643923240938164)	(63.0, 0.15991471215351813)	(64.0, 0.21321961620469082)	(65.0, 0.10660980810234541)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
