Sample	0	1	2	3	4
sample_021	(34.0, 3.0)	(35.0, 98.0)	(36.0, 351.0)	(37.0, 34.0)	
sample_022	(33.0, 1.0)	(34.0, 20.0)	(35.0, 221.0)	(36.0, 235.0)	(37.0, 9.0)
sample_031	(35.0, 46.0)	(36.0, 147.0)	(37.0, 9.0)		
sample_032	(33.0, 1.0)	(34.0, 12.0)	(35.0, 90.0)	(36.0, 93.0)	(37.0, 6.0)
sample_041	(35.0, 6.0)	(36.0, 105.0)	(37.0, 15.0)		
sample_042	(34.0, 2.0)	(35.0, 30.0)	(36.0, 90.0)	(37.0, 4.0)	
sample_051	(34.0, 11.0)	(35.0, 148.0)	(36.0, 467.0)	(37.0, 46.0)	
sample_052	(33.0, 1.0)	(34.0, 33.0)	(35.0, 314.0)	(36.0, 312.0)	(37.0, 12.0)
sample_061	(34.0, 13.0)	(35.0, 189.0)	(36.0, 571.0)	(37.0, 60.0)	
sample_062	(34.0, 34.0)	(35.0, 336.0)	(36.0, 451.0)	(37.0, 12.0)	
sample_071	(35.0, 19.0)	(36.0, 222.0)	(37.0, 131.0)		
sample_072	(34.0, 2.0)	(35.0, 72.0)	(36.0, 268.0)	(37.0, 30.0)	
sample_081	(35.0, 8.0)	(36.0, 105.0)	(37.0, 67.0)		
sample_082	(35.0, 31.0)	(36.0, 129.0)	(37.0, 20.0)		
sample_091	(34.0, 5.0)	(35.0, 156.0)	(36.0, 463.0)	(37.0, 20.0)	
sample_092	(33.0, 1.0)	(34.0, 43.0)	(35.0, 312.0)	(36.0, 284.0)	(37.0, 4.0)
sample_101	(34.0, 5.0)	(35.0, 68.0)	(36.0, 269.0)	(37.0, 28.0)	
sample_102	(34.0, 15.0)	(35.0, 183.0)	(36.0, 160.0)	(37.0, 12.0)	
