Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
sample_021	3.9094650205761354	50.0	85.0	85	0.0	0.000486
sample_022	2.8806584362139915	50.0	85.0	85	10.0	0.000486
sample_031	0.9900990099009874	49.0	100.0	100	10.0	0.000202
sample_032	0.9900990099009874	49.0	100.0	100	0.0	0.000202
sample_041	0.7936507936507837	48.0	141.0	141	20.0	0.000126
sample_042	1.5873015873015959	49.0	141.0	141	20.0	0.000126
sample_051	5.50595238095238	49.0	96.0	96	0.0	0.000672
sample_052	5.208333333333343	49.0	96.0	96	0.0	0.000672
sample_061	5.0420168067227	49.0	89.0	89	10.0	0.000833
sample_062	5.162064825930372	49.0	89.0	89	10.0	0.000833
sample_071	2.1505376344086073	49.0	127.0	127	10.0	0.000372
sample_072	3.7634408602150557	49.0	127.0	127	0.0	0.000372
sample_081	1.1111111111111143	49.0	129.0	129	20.0	0.00017999999999999998
sample_082	2.7777777777777857	49.0	129.0	129	10.0	0.00017999999999999998
sample_091	4.5031055900621055	49.0	107.0	107	10.0	0.0006439999999999999
sample_092	5.434782608695656	49.0	107.0	107	10.0	0.0006439999999999999
sample_101	2.432432432432435	49.0	82.0	82	0.0	0.00037
sample_102	3.243243243243242	49.0	82.0	82	10.0	0.00037
