Sample	0	1	2	3	4	5	6	7	8
sample_021	(85, 486.0)								
sample_022	(85, 486.0)								
sample_031	(100, 202.0)								
sample_032	(100, 202.0)								
sample_041	(141, 126.0)								
sample_042	(141, 126.0)								
sample_051	(96, 672.0)								
sample_052	(96, 672.0)								
sample_061	(89, 833.0)								
sample_062	(89, 833.0)								
sample_071	(119, 1.0)	(120, 0.0)	(121, 0.0)	(122, 1.0)	(123, 0.0)	(124, 0.0)	(125, 0.0)	(126, 0.0)	(127, 370.0)
sample_072	(127, 372.0)								
sample_081	(129, 180.0)								
sample_082	(129, 180.0)								
sample_091	(101, 1.0)	(102, 1.0)	(103, 0.0)	(104, 0.0)	(105, 0.0)	(106, 0.0)	(107, 642.0)		
sample_092	(99, 1.0)	(100, 0.0)	(101, 0.0)	(102, 0.0)	(103, 0.0)	(104, 0.0)	(105, 0.0)	(106, 0.0)	(107, 643.0)
sample_101	(82, 370.0)								
sample_102	(82, 370.0)								
