sample,condition
ENSG00000290825,normal
ENSG00000223972,normal
ENSG00000227232,normal
ENSG00000278267,normal
ENSG00000243485,normal
ENSG00000284332,normal
ENSG00000237613,normal
ENSG00000268020,normal
ENSG00000290826,normal
ENSG00000240361,normal
ENSG00000186092,normal
ENSG00000238009,normal
ENSG00000239945,normal
ENSG00000233750,normal
ENSG00000268903,normal
ENSG00000269981,normal
ENSG00000239906,normal
ENSG00000241860,normal
ENSG00000222623,normal
ENSG00000241599,normal
ENSG00000279928,normal
ENSG00000279457,normal
ENSG00000273874,normal
ENSG00000228463,normal
ENSG00000286448,normal
ENSG00000236679,normal
ENSG00000236601,normal
ENSG00000290385,normal
ENSG00000269732,normal
ENSG00000284733,normal
ENSG00000237094,normal
ENSG00000233653,normal
ENSG00000250575,normal
ENSG00000278757,normal
ENSG00000230021,normal
ENSG00000235146,normal
ENSG00000225972,normal
ENSG00000225630,normal
ENSG00000237973,normal
ENSG00000278791,normal
ENSG00000229344,normal
ENSG00000240409,normal
ENSG00000248527,normal
ENSG00000198744,normal
ENSG00000268663,normal
ENSG00000284662,normal
ENSG00000229376,normal
ENSG00000291215,normal
ENSG00000223181,normal
ENSG00000229905,normal
ENSG00000228327,normal
ENSG00000237491,normal
ENSG00000285268,normal
ENSG00000290784,normal
ENSG00000230092,normal
ENSG00000177757,normal
ENSG00000225880,normal
ENSG00000228794,normal
ENSG00000288531,normal
ENSG00000230368,normal
ENSG00000234711,normal
ENSG00000283040,normal
ENSG00000272438,normal
ENSG00000230699,normal
ENSG00000241180,normal
ENSG00000223764,normal
ENSG00000187634,normal
ENSG00000188976,normal
ENSG00000187961,normal
ENSG00000187583,normal
ENSG00000187642,normal
ENSG00000272512,normal
ENSG00000188290,normal
ENSG00000187608,normal
ENSG00000231702,normal
ENSG00000224969,normal
ENSG00000188157,normal
ENSG00000242590,normal
ENSG00000291156,normal
ENSG00000273443,normal
ENSG00000217801,normal
ENSG00000237330,normal
ENSG00000131591,normal
ENSG00000285812,normal
ENSG00000223823,normal
ENSG00000207730,normal
ENSG00000207607,normal
ENSG00000198976,normal
ENSG00000272141,normal
ENSG00000205231,normal
ENSG00000162571,normal
ENSG00000186891,normal
ENSG00000186827,normal
ENSG00000078808,normal
ENSG00000176022,normal
ENSG00000184163,normal
ENSG00000260179,normal
ENSG00000160087,normal
ENSG00000230415,normal
ENSG00000162572,normal
ENSG00000131584,normal
ENSG00000278073,normal
ENSG00000169972,normal
ENSG00000127054,normal
ENSG00000283712,normal
ENSG00000240731,normal
ENSG00000224051,normal
ENSG00000169962,normal
ENSG00000107404,normal
ENSG00000284372,normal
ENSG00000162576,normal
ENSG00000175756,normal
ENSG00000223663,normal
ENSG00000221978,normal
ENSG00000224870,normal
ENSG00000242485,normal
ENSG00000264293,normal
ENSG00000272455,normal
ENSG00000235098,normal
ENSG00000225905,normal
ENSG00000205116,normal
ENSG00000225285,normal
ENSG00000179403,normal
ENSG00000215915,normal
ENSG00000160072,normal
ENSG00000290916,normal
ENSG00000284740,normal
ENSG00000197785,normal
ENSG00000205090,normal
ENSG00000160075,normal
ENSG00000215014,normal
ENSG00000274481,normal
ENSG00000228594,normal
ENSG00000286989,normal
ENSG00000272106,normal
ENSG00000197530,normal
ENSG00000189409,normal
ENSG00000248333,normal
ENSG00000272004,normal
ENSG00000189339,normal
ENSG00000269737,normal
ENSG00000215914,normal
ENSG00000008128,normal
ENSG00000268575,normal
ENSG00000227775,normal
ENSG00000290854,normal
ENSG00000215790,normal
ENSG00000008130,normal
ENSG00000078369,normal
ENSG00000231050,normal
ENSG00000169885,normal
ENSG00000178821,normal
ENSG00000142609,normal
ENSG00000233542,normal
ENSG00000187730,normal
ENSG00000226969,normal
